,Bihar_s(t),Bihar_e(t),Bihar_i(t),Bihar_r(t),UttarPradesh_s(t),UttarPradesh_e(t),UttarPradesh_i(t),UttarPradesh_r(t),Haryana_s(t),Haryana_e(t),Haryana_i(t),Haryana_r(t),MadhyaPradesh_s(t),MadhyaPradesh_e(t),MadhyaPradesh_i(t),MadhyaPradesh_r(t)
17,0.9999992457074686,2.9603745019368087e-07,1.7800323952933516e-07,4.0121958367385644e-07,0.9999983641220216,5.919629878584371e-07,3.727722776546005e-07,9.62281953514121e-07,0.9999929771023899,2.3902522793529383e-06,1.5388874002888912e-06,4.335137240590861e-06,0.9999980081617103,7.09324136232072e-07,4.645169913820869e-07,1.2768206916628287e-06
18,0.9999991584273671,3.215490240337899e-07,1.9334614360141097e-07,4.476452072230666e-07,0.9999982001791858,6.333919979867873e-07,3.9884897394382317e-07,1.0587190828832725e-06,0.9999923345110462,2.5399517562925814e-06,1.6351150125253777e-06,4.731801495190981e-06,0.9999978218904729,7.497290255395563e-07,4.909784498981892e-07,1.3962255811401651e-06
19,0.9999990635198551,3.4928896481646234e-07,2.100309493440888e-07,4.981279726157378e-07,0.9999980246744927,6.777463246242878e-07,4.267610873958375e-07,1.1619573359370797e-06,0.9999916514657544,2.6991170821840192e-06,1.7373586641681209e-06,5.153437809358081e-06,0.9999976249715323,7.924431846180086e-07,5.189528510384649e-07,1.5224559615303121e-06
20,0.9999989603470211,3.794427422385573e-07,2.2817078270522035e-07,5.530071959410929e-07,0.9999978367966724,7.252347726834836e-07,4.566338611445298e-07,1.2724739344278658e-06,0.9999909253715769,2.8684003277461077e-06,1.8459593478443748e-06,5.6016480577299984e-06,0.9999974167852543,8.376005924059039e-07,5.485286438530583e-07,1.655909038939471e-06
21,0.999998848270953,4.121958259969343e-07,2.478787696326572e-07,6.12622193288355e-07,0.9999976357344552,7.760661470769185e-07,4.885925383237862e-07,1.3907461001079535e-06,0.9999901536335754,3.0484535636977048e-06,1.9612580561813947e-06,6.0780341149445645e-06,0.9999971967120048,8.85335227841717e-07,5.797942773921132e-07,1.7969820194738427e-06
22,0.9999987266537393,4.477336857884526e-07,2.69268036074251e-07,6.77312280746747e-07,0.9999974206765712,8.304492527171374e-07,5.227623620674929e-07,1.5172510547296661e-06,0.999989333656812,3.2399288607576665e-06,2.083595781806435e-06,6.584197855639613e-06,0.9999969641321498,9.357810698639228e-07,6.128382007057737e-07,1.9460721092396276e-06
23,0.9999985948382994,4.862481160551198e-07,2.9245435574743497e-07,7.474269706640226e-07,0.9999971907971077,8.885939727942839e-07,5.592735264215328e-07,1.6524746337446225e-06,0.9999884628261193,3.4434510058743974e-06,2.2133485404232924e-06,7.121753644465903e-06,0.9999967184171604,9.890743068056306e-07,6.477498461285424e-07,2.103582216114998e-06
24,0.9999984517103843,5.280817542156602e-07,3.176166507552244e-07,8.235589526151716e-07,0.9999969449209243,9.507359070450134e-07,5.983743029646442e-07,1.79710810634317e-06,0.9999875380438681,3.658994077540106e-06,2.3517276359561383e-06,7.692613728547612e-06,0.999996458726379,1.0454038202951724e-06,6.84642096985601e-07,2.2700512332607783e-06
25,0.9999982960861996,5.735922547591463e-07,3.4495137855181025e-07,9.063379088706762e-07,0.9999966817864193,1.0171518469157487e-06,6.403073717898605e-07,1.9518936026400306e-06,0.9999865558452399,3.886853849840339e-06,2.4997631875769118e-06,8.298917032845435e-06,0.9999961841776454,1.104965425411289e-06,7.236358000553901e-07,2.446044658741581e-06
26,0.9999981270483331,6.230262086697505e-07,3.746413714630405e-07,9.962518285250114e-07,0.9999964002382682,1.0882123861192045e-06,6.851778511795777e-07,2.1175107352083986e-06,0.9999855121895633,4.1289324578321945e-06,2.6570993568980537e-06,8.943157932023764e-06,0.9999958939854404,1.1679210863908101e-06,7.648509628784182e-07,2.6320660399161804e-06
